Layer,Altitude-m,Travel time,Mass flow kg/s,Fuel-kg,CO2-kg,CO - kg,H2O-kg,BC-kg,NOX-kg
1,123,8.280278773,2564.935065,21238.37737,20049.02824,44.04414699,7943.153137,4.353867361,698.7112889
2,254,3.510177711,2564.935065,9003.377895,8499.188733,19.37887058,3367.263333,3.811429976,295.2248127
3,387,2.650766994,2564.935065,6799.045212,6418.29868,15.17682872,2542.842909,4.385384162,222.1977268
4,521,2.209288238,2564.935065,5666.680869,5349.346741,13.10476618,2119.338645,4.920567888,184.5647876
5,657,1.940996315,2564.935065,4978.529509,4699.731857,11.91959535,1861.970037,5.451489813,161.5929864
6,795,1.754271479,2564.935065,4499.592431,4247.615255,11.14549045,1682.847569,5.961959971,145.53538
7,934,1.606933525,2564.935065,4121.680146,3890.866058,10.55314985,1541.508375,6.416082094,132.8394842
8,1075,1.48765583,2564.935065,3815.740603,3602.05913,10.0926339,1427.086986,6.836535248,122.535355
9,1218,1.407740703,2564.935065,3610.763493,3408.560737,9.860272945,1350.425546,7.32984989,115.5269196
10,1363,1.330757831,2564.935065,3413.307422,3222.162207,9.618017655,1276.576976,7.753896695,108.8009661
11,1510,1.266647326,2564.935065,3248.868142,3066.931526,9.44121082,1215.076685,8.176318157,103.1653712
12,1659,1.215855538,2564.935065,3118.590502,2943.949434,9.341425991,1166.352848,8.622902739,98.64514973
13,1860,1.544047772,2564.935065,3960.382271,3738.600864,12.34055116,1481.182969,12.27718504,124.6154084
14,2118,1.845996824,2564.935065,4734.861985,4469.709714,15.48678658,1770.838382,16.71406281,147.9769844
15,2382,1.766638194,2564.935065,4531.31225,4277.558764,15.53877597,1694.710781,17.98930963,140.628596
16,2654,1.703264782,2564.935065,4368.763565,4124.112806,15.69434623,1633.917573,19.3244975,134.6035714
17,2932,1.641102747,2564.935065,4209.321981,3973.59995,15.82368319,1574.286421,20.56955341,128.7256964
18,3219,1.59731837,2564.935065,4097.017897,3867.584895,16.10701616,1532.284693,21.98050102,124.3212426
19,3665,2.3252157,2564.935065,5964.027282,5630.041754,25.04295056,2230.546203,36.43026664,178.7799183
20,4132,2.256379855,2564.935065,5787.467811,5463.369613,25.92322582,2164.512961,39.85636166,171.2575387
